ID|CourseName|Instructor|Credit|Pre-requisite|Reference
VG100|Introduction to Engineering|Shane Miguel Johnson|4|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=73
VM020|Machineshop Training||1|none|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=250
VP140|Physics I|||Calculus I or equivalent training from high school|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=221
VR123|Novel into Film||3|Vy 100|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=226
VV115|Calculus I|Zachiri McKenzie|4|3-4 years high school math including trigonometry|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=230
VY100|Academic Writing I||4|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=234
VZ102|Introduction to Chinese Culture||2|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=235
VC209|Chemistry||4|High school Chemistry, 3 years high school Math.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=237
VE203|Discrete Mathematics||4|Vv156 or Vv186.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=241
VK242|Physics of Materials||4|Vp 240 and preceded or accompanied by Vv 216/256/286|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=248
VM211|Introduction to Solid Mechanics||4|Vp 140 or Vp 160 and Vv 156 or Vv 186|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=251
VP240|Physics II||N|Vp140 or Vp160|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=255
VR202|Introduction to Philosophy||3|Sophomore or above, or instructor’s permission|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=258
VV214|Linear Algebra||4|none|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=281
VY200|Academic Writing II||4|Vy 100 Academic Writing I|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=288
VZ200|Comprehensive Chinese II||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=291
VE300|Technical Communication for Electrical and Computer Engineering||1|Vg 100|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=386
VK330|Thermodynamics of Materials||4|Vc 209/210, Vp 140, Vv 215/255/285, and Vk 250|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=395
VM305|Introduction to Finite Elements in Mechanical Engineering||3|Vm 211|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=400
VP390|Modern Physics||3|Vv 256/286 and Vp 240/260|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=223
VR318|Modern PhysicsScience Fiction||3|Vy 100/Vy 200|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=409
VX351|Advanced Branding and Brand Management||2|Branding and Brand Management|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=420
VY322|Literary Translation||3|Vy 100/200|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=421
VE401|Probabilistic Methods in Engineering||4|Vv 156/255/256 or Vv 186/285/286|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=422
VG496|Professional Ethics||2|Vg100, Junior or Senior standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=454
VK480|Materials and Engineering Design||3|Senior standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=455
VM412|Advanced Strength of Materials||3|Vm 311|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=457
VR440|Chinese Legal History||4||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=474
VV417|Linear Algebra||4|Vv216/256/286|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=475
